,precision,recall,f1-score,support
0,1.0,1.0,1.0,4.0
2,0.6,1.0,0.75,3.0
3,1.0,1.0,1.0,1.0
4,0.75,1.0,0.8571428571428571,3.0
5,1.0,0.8,0.8888888888888888,5.0
7,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0
10,0.3333333333333333,1.0,0.5,1.0
11,0.7142857142857143,0.625,0.6666666666666666,8.0
13,1.0,0.5,0.6666666666666666,2.0
14,1.0,1.0,1.0,2.0
15,0.0,0.0,0.0,1.0
16,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,2.0
19,1.0,1.0,1.0,2.0
20,0.6666666666666666,1.0,0.8,2.0
21,1.0,1.0,1.0,2.0
22,1.0,1.0,1.0,1.0
24,0.0,0.0,0.0,1.0
25,1.0,1.0,1.0,3.0
29,0.625,1.0,0.7692307692307693,5.0
30,0.3333333333333333,1.0,0.5,1.0
31,0.0,0.0,0.0,2.0
32,0.0,0.0,0.0,1.0
34,0.7,1.0,0.8235294117647058,7.0
35,0.5,0.25,0.3333333333333333,4.0
36,0.0,0.0,0.0,1.0
37,1.0,1.0,1.0,1.0
38,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0
40,1.0,0.8461538461538461,0.9166666666666666,13.0
41,0.5714285714285714,0.4444444444444444,0.5,9.0
accuracy,0.7717391304347826,0.7717391304347826,0.7717391304347826,0.7717391304347826
macro avg,0.712313988095238,0.7645499465811966,0.7178789143862674,92.0
weighted avg,0.7601319875776397,0.7717391304347826,0.7488412979461572,92.0
overall,0.7601319875776397,0.7717391304347826,0.7488412979461572,
